Text1,Text2,label
OOPs stands for representing the Object-Oriented Programming system. Programs are treated as a collection of objects in oops. Each object is nothing but an example of a class.,"OOPs stands for representing the Object-Oriented Programming system. Programs are treated as a collection of objects in oops. Each object is nothing but an example of a class.  Everything is an object, there is no data. Data lives inside each object that’s responsible for it.",1
OOP is Object Oriented Programming.,"Typically, OOPs is semi-formally defined as a style of imperative, procedural programming characterised by: Inheritance, Encapsulation & Polymorphism.",0
Machine Learning is a field of Artificial Intelligence that allows system to learn from data.,Data from learn to system allows that intelligence artificial of field is a Machine Learning.,1
Machine Learning is a field of Artificial Intelligence that allows system to learn from data.,"Determined as subdomain of AI, the machine learning model allows system to learn from data.",1
Machine Learning is a field of Artificial Intelligence that allows system to learn from data.,"The 7-seater India-bound Jeep SUV, locally built in India from 2022 is likely to be trade marketed with the name ‘Patriot’ albeit known as H6 internally. ",0
"The 7-seater India-bound Jeep SUV, locally built in India from 2022 is likely to be trade marketed with the name ‘Patriot’ albeit known as H6 internally. The new name along with new elaborating features over the previous version is aimed towards attracting customers in India. The name Jeep Patriot is inspired by a US-based Jeep called Patriot, which is a compact SUV. With this new launch, the Jeep will enter the D-segment SUV category.","The 7-seater Jeep SUV meant for the Indian market, which has been locally manufactured in India since 2022, is expected to be officially marketed under the name “Patriot,” although it is internally referred to as H6. The new name, along with additional features compared to the earlier version, is intended to attract Indian customers. The Jeep Patriot name is inspired by a compact SUV sold in the US under the same name. With this launch, Jeep will enter the D-segment SUV category in India.",1
"The 7-seater India-bound Jeep SUV, locally built in India from 2022 is likely to be trade marketed with the name ‘Patriot’ albeit known as H6 internally. The new name along with new elaborating features over the previous version is aimed towards attracting customers in India. The name Jeep Patriot is inspired by a US-based Jeep called Patriot, which is a compact SUV. With this new launch, the Jeep will enter the D-segment SUV category.","Jeep is preparing to launch its India-bound 7-seater SUV, locally produced since 2022, under the name “Patriot,” while the model is internally known as H6. The rebranding and added features compared to the previous version are aimed at increasing its appeal in the Indian market. The name Patriot is derived from a compact Jeep SUV available in the US. Through this launch, Jeep plans to make its entry into the D-segment SUV space in India.",1
"The 7-seater India-bound Jeep SUV, locally built in India from 2022 is likely to be trade marketed with the name ‘Patriot’ albeit known as H6 internally. The new name along with new elaborating features over the previous version is aimed towards attracting customers in India. The name Jeep Patriot is inspired by a US-based Jeep called Patriot, which is a compact SUV. With this new launch, the Jeep will enter the D-segment SUV category.","Jeep is set to strengthen its presence in the Indian automobile market by introducing a new 7-seater SUV positioned in the D-segment category. Manufactured locally in India, the vehicle will be launched with updated features and a refreshed identity to suit Indian consumer preferences. Drawing inspiration from Jeep’s global naming legacy, the model adopts a familiar brand name while offering a larger and more premium configuration. This launch reflects Jeep’s strategy to expand its product lineup and compete in higher SUV segments in India.",0
The facelifted BMW 6 Series GT has been launched for the Indian market in the price range of Rs 67.90 lakh to Rs 77.00 lakh. It is available in three variants which include one petrol engine and two diesel.  It will come in two trims: Luxury Line and M Sport.Notable features include four-zone climate control and wireless charging,"The facelifted BMW 6 Series GT has been launched in the Indian market with prices ranging from Rs 67.90 lakh to Rs 77.00 lakh. It is offered in three variants, including one petrol engine option and two diesel variants. The model is available in two trims, namely Luxury Line and M Sport. Key features of the car include four-zone climate control and wireless charging.",1
The facelifted BMW 6 Series GT has been launched for the Indian market in the price range of Rs 67.90 lakh to Rs 77.00 lakh. It is available in three variants which include one petrol engine and two diesel.  It will come in two trims: Luxury Line and M Sport.Notable features include four-zone climate control and wireless charging,"BMW has introduced the updated 6 Series GT in India, priced between Rs 67.90 lakh and Rs 77.00 lakh. The car is available in three different variants, consisting of one petrol-powered version and two diesel options. Buyers can choose between Luxury Line and M Sport trims. The facelifted model also offers premium features such as four-zone climate control and wireless charging support.",1
The facelifted BMW 6 Series GT has been launched for the Indian market in the price range of Rs 67.90 lakh to Rs 77.00 lakh. It is available in three variants which include one petrol engine and two diesel.  It will come in two trims: Luxury Line and M Sport.Notable features include four-zone climate control and wireless charging,"BMW has expanded its premium portfolio in India with the launch of a refreshed 6 Series GT, positioned in the luxury sedan segment. The model is offered with multiple powertrain choices, including both petrol and diesel options, and is available in distinct trim levels aimed at different buyer preferences. Designed to enhance comfort and convenience, the vehicle includes advanced cabin features that emphasize a more luxurious driving experience.",0
"The three variants of the BMW 6 Series facelift model are 630i M Sport, 620d Luxury Line, and 630d M Sport. The older variant 630i Luxury Line has been discontinued previously and a top-spec variant M Sport has been introduced which is costlier than the previous version by Rs 2 lakh.","The BMW 6 Series facelift is offered in three variants: 630i M Sport, 620d Luxury Line, and 630d M Sport. The earlier 630i Luxury Line variant has already been discontinued, and a new top-end M Sport variant has been introduced. This new M Sport version is priced around Rs 2 lakh higher than the previous model.",1
"The three variants of the BMW 6 Series facelift model are 630i M Sport, 620d Luxury Line, and 630d M Sport. The older variant 630i Luxury Line has been discontinued previously and a top-spec variant M Sport has been introduced which is costlier than the previous version by Rs 2 lakh.","BMW has made changes to the variant lineup of the facelifted 6 Series by offering three options, namely 630i M Sport, 620d Luxury Line, and 630d M Sport. The older 630i Luxury Line variant is no longer available, while a higher-spec M Sport version has been added to the range. The newly introduced M Sport variant carries a price increase of approximately Rs 2 lakh compared to the earlier version.",1
"The three variants of the BMW 6 Series facelift model are 630i M Sport, 620d Luxury Line, and 630d M Sport. The older variant 630i Luxury Line has been discontinued previously and a top-spec variant M Sport has been introduced which is costlier than the previous version by Rs 2 lakh.","As part of the update to its premium model lineup, BMW has revised the available variants for the 6 Series by removing an older trim and introducing a more feature-rich option. The current range focuses on sportier configurations and a higher-end positioning, with the newly added variant carrying a noticeable price premium over the earlier offering. This change reflects BMW’s strategy to emphasize performance-oriented trims in the refreshed model.",0
Hyundai Aura has received feature upgrades and price hikes across its variants for the year 2021. Both petrol and diesel variants are included in it.,The Hyundai Aura has received feature upgrades along with price increases across all its variants for the 2021 model year. These updates apply to both the petrol and diesel versions of the car.,1
Hyundai Aura has received feature upgrades and price hikes across its variants for the year 2021. Both petrol and diesel variants are included in it.,"For 2021, Hyundai has updated the Aura with added features and revised pricing across its range. The changes affect both petrol-powered and diesel-powered variants of the model.",1
Hyundai Aura has received feature upgrades and price hikes across its variants for the year 2021. Both petrol and diesel variants are included in it.,"Hyundai has refreshed its compact sedan lineup by making changes to equipment levels and pricing as part of its annual update. The model continues to be offered with multiple fuel options, ensuring availability for different customer preferences while reflecting the latest market adjustments.",0
"The revised prices have taken effect across all model lineup except for the base petrol E variant. The four diesel variants S, S AMT, SX(O), and SX+AMT have seen a hike of Rs 4,800. They currently retail at Rs 7.89 lakh, Rs 8.9 lakh, Rs 9.15 lakh, and Rs 9.34 lakh respectively.","The revised pricing has been implemented across the entire model range, except for the base petrol E variant. The four diesel variants—S, S AMT, SX(O), and SX+ AMT—have received a price increase of Rs 4,800. These variants are now priced at Rs 7.89 lakh, Rs 8.9 lakh, Rs 9.15 lakh, and Rs 9.34 lakh respectively.",1
"The revised prices have taken effect across all model lineup except for the base petrol E variant. The four diesel variants S, S AMT, SX(O), and SX+AMT have seen a hike of Rs 4,800. They currently retail at Rs 7.89 lakh, Rs 8.9 lakh, Rs 9.15 lakh, and Rs 9.34 lakh respectively.","Price revisions have been applied to most variants in the lineup, with the exception of the entry-level petrol E model. The diesel versions, including S, S AMT, SX(O), and SX+ AMT, have become costlier by Rs 4,800. Following the hike, their current prices stand at Rs 7.89 lakh, Rs 8.9 lakh, Rs 9.15 lakh, and Rs 9.34 lakh respectively.",1
"The revised prices have taken effect across all model lineup except for the base petrol E variant. The four diesel variants S, S AMT, SX(O), and SX+AMT have seen a hike of Rs 4,800. They currently retail at Rs 7.89 lakh, Rs 8.9 lakh, Rs 9.15 lakh, and Rs 9.34 lakh respectively.","As part of the latest pricing update, most variants in the range have seen a revision, while the entry-level petrol option remains unchanged. The adjustment primarily impacts diesel-powered versions, which now carry slightly higher price tags across multiple trim levels. These changes reflect routine pricing updates based on market and cost considerations.",0
